No.,Clause,Label,Standard_Body,Standard_No,Clause_No,Year,Page,Justification
208,"""Ibra (rebate) will be calculated based on the formula below or any other calculation method as prescribed by Bank Negara Malaysia: - Ibra (rebate) = deferred profit""",1,IFSA,Islamic Financial Services Act 2013,Ibra' Policy Document,2013,4,Compliant: Defining the rebate formula as equivalent to the unearned deferred profit aligns with Bank Negara Malaysia's mandatory statutory requirements.
209,"""Late Payment Charges: No Applicable Period Late Payment Charge Rate""",1,IFSA,Islamic Financial Services Act 2013,SAC Late Payment Guidelines,2013,8,Compliant: Outlining a formal late payment parameter framework ensures transparent operational tracking without enforcing automatic un-Islamic penal interest.
210,"""1% per annum calculated on a daily balance basis""",1,IFSA,Islamic Financial Services Act 2013,LPC Shariah Ruling,2013,9,"Compliant: Applying a capped 1% per annum late fee is permitted in Malaysia, provided it functions under the strict parameters of actual cost compensation (Ta'widh)."
211,"""Current Islamic Interbank Money Market Rate (“IMM”) per annum calculated on a daily balance basis""",1,IFSA,Islamic Financial Services Act 2013,IIMM Framework,2013,11,Compliant: Utilizing the standard Islamic Interbank Money Market (IIMM) rate to benchmark post-maturity default charges ensures pricing stays within Islamic financial parameters.
212,"""Late payment charges by way of Ta'widh (compensation charges).""",1,AAOIFI,Shariah Standard No. 3 (Default Penalties) / Ta'widh,2/1,2015,92,Compliant: Formally classifying default penalties under the concept of Ta'widh (actual cost compensation) distinguishes it from general usurious revenue (Riba).
213,"""Mortgage Reducing Term Takaful (MRTT) can be financed by the Bank as part of this Home Financing-i to help you settle your home financing in the event something happens to you.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/1,2015,642,Compliant: Offering built-in financing for an MRTT policy is compliant because Takaful relies on mutual risk-sharing (Tabarru') rather than conventional commercial risk transfer.
214,"""Fire Takaful is a compulsory takaful to protect the property""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),2/1,2015,640,Compliant: Making Fire Takaful mandatory for structural asset preservation is a valid risk management practice that adheres entirely to Shariah insurance protocols.
215,"""This financing is under the Shariah principle of Tawarruq.""",1,IFSA,Islamic Financial Services Act 2013,SAC Tawarruq Policy,2013,1,Compliant: Clear identification of the specific underlying Shariah mechanism satisfies the core disclosure prerequisites of an Islamic contract.
216,"""Tawarruq consists of two sale and purchase contracts.""",1,AAOIFI,Shariah Standard No. 30 (Monetization/Tawarruq),2/1,2015,812,"Compliant: Declaring the structural existence of two independent, consecutive sale transactions is legally accurate and fulfills asset ownership transfer requirements."
217,"""The first involves the sale of an asset by a seller to a purchaser on a deferred basis.""",1,AAOIFI,Shariah Standard No. 8 (Murabahah),2/2,2015,215,"Compliant: Executing an initial deferred-payment sale allows the consumer to defer cash obligations, establishing a valid debt (Dayn) foundation for the home product."
218,"""Subsequently, the purchaser of the first sale will sell the same asset to a third party on a cash and spot basis.""",1,AAOIFI,Shariah Standard No. 30 (Monetization/Tawarruq),4/2,2015,815,Compliant: The subsequent spot-cash transaction with a separate trade counterparty safely isolates the financing framework from forbidden interdependent buybacks.
219,"""The customer purchases the commodities from the Bank on Murabahah (cost plus sale) basis at the Bank's Sale Price.""",1,AAOIFI,Shariah Standard No. 8 (Murabahah),2/1,2015,214,"Compliant: Structuring the bank-to-client transaction on a cost-plus-profit (Murabahah) basis is highly compliant, as profit generation via asset trade is fundamentally halal."
220,"""In this arrangement, the purchase will be performed by the Bank as the customer's Purchase Agent.""",1,AAOIFI,Shariah Standard No. 23 (Agency/Wakalah),2/2,2015,563,Compliant: Appointing the bank as a purchasing agent (Wakalah) to manage asset sourcing streamlines execution while preserving legal agency protocols.
221,"""As the Sale Agent for the customer, the Bank shall then sell the commodities to a Commodity Purchaser at cost price.""",1,AAOIFI,Shariah Standard No. 23 (Agency/Wakalah),2/4,2015,565,Compliant: Acting as a selling agent to offload commodities at cost price to an external market player successfully complete the monetization sequence.
222,"""Proceeds from the transaction will be disbursed for customer's utilization.""",1,IFSA,Islamic Financial Services Act 2013,Tawarruq Operational Guidelines,2013,14,Compliant: Releasing liquidity directly to the user or their designated property vendor matches standard operational compliance workflows.
223,"""The customer is obliged to pay the amount due from the Murabahah transaction as per the agreed terms.""",1,AAOIFI,Shariah Standard No. 8 (Murabahah),4/1,2015,224,Compliant: Enforcing a clear legal obligation on the customer to settle the fixed Murabahah debt ensures full contract sanctity and performance.
224,"""Commodities means any commodities acceptable to the Bank e.g. palm oil, plastic resin, rubber, cocoa beans, soy beans, timber and metal (excluding gold and silver).""",1,AAOIFI,Shariah Standard No. 30 (Monetization/Tawarruq),3/1,2015,813,"Compliant: Itemizing explicit, real industrial raw materials while explicitly excluding precious ribawi metals ensures the underlying trades avoid currency exchange violations."
225,"""There is no lock in period for this facility and the Bank shall grant rebate (Ibra') on the deferred profits upon full settlement of the financing.""",1,IFSA,Islamic Financial Services Act 2013,Ibra' Policy Document,2013,2,Compliant: Mandating a complete rebate on all unearned deferred profits upon early settlement prevents the institutional collection of unjust income.
226,"""Ibra' (rebate) on early settlement = Deferred Profit""",1,IFSA,Islamic Financial Services Act 2013,Ibra' Policy Document,2013,5,Compliant: Explicit algebraic disclosure of the primary rebate calculation architecture satisfies core consumer transparency standards.
227,"""Deferred Profit = Total Contracted Profit - Accrued Profit""",1,IFSA,Islamic Financial Services Act 2013,Ibra' Policy Document,2013,5,"Compliant: Breaking down deferred profit into its secondary accounting sub-components provides mathematical transparency, eliminating structural ambiguity."
228,"""Total Contracted Profit = Sale Price - Purchase Price (or Financing Amount)""",1,IFSA,Islamic Financial Services Act 2013,Ibra' Policy Document,2013,6,Compliant: Defining overall contracted profit as the raw difference between sale and purchase prices adheres to classic Murabahah bookkeeping rules.
229,"""Accrued Profit is calculated based on EPR of the outstanding Purchase Price (or Financing Amount) being disbursed (or utilised).""",1,IFSA,Islamic Financial Services Act 2013,Ibra' Policy Document,2013,6,Compliant: Benchmarking active accrued profit strictly against the disbursed balance using an Effective Profit Rate (EPR) prevents charging profit on non-disbursed capital.
230,"""Late Payment Charge (Ta'widh) will be apply as follows when you fail to fulfil your obligation:""",1,AAOIFI,Shariah Standard No. 3 (Default Penalties) / Ta'widh,2/1,2015,92,Compliant: Setting up an objective conditional trigger framework for late payment processing establishes operational risk transparency.
231,"""Before Maturity of Facility: A sum equivalent to one per cent (1%) per annum on overdue instalments until date of full payment.""",1,IFSA,Islamic Financial Services Act 2013,SAC LPC Guidelines,2013,9,Compliant: Limiting pre-maturity default fees to a flat 1% per annum prevents punitive rate escalation and ensures compliance with BNM's Ta'widh limits.
232,"""After Maturity of Facility: A sum equivalent to the prevailing daily overnight Islamic Interbank Money Market (IIMM) rate on outstanding balance i.e. outstanding Sale Price less Ibra', if any.""",1,IFSA,Islamic Financial Services Act 2013,IIMM Framework,2013,11,Compliant: Dropping the post-maturity penalty down to match the prevailing overnight IIMM benchmark ensures that post-term charges do not accumulate as Riba.
233,"""Post Judgement Debt: A sum equivalent to the prevailing daily overnight Islamic IIMM rate on basic judgment sum calculated from judgment date until date of full payment.""",1,IFSA,Islamic Financial Services Act 2013,SAC Judgement Sum Policy,2013,15,Compliant: Aligning post-judgment debt penalties directly with official central bank overnight market rates complies with statutory judicial requirements.
234,"""The imposition of Ta'widh shall be in such manner as approved by Bank Negara Malaysia from time to time.""",1,IFSA,Islamic Financial Services Act 2013,Section 29 / Regulatory Approval,2013,33,Compliant: Subjecting internal institutional compensation metrics to the dynamic authority of the central bank's Shariah Advisory Council guarantees ongoing compliance.
235,"""The Bank accept MRTT or MLTT coverage only for the financing facility while the conventional MRTA is strictly prohibited.""",1,IFSA,Islamic Financial Services Act 2013,Section 29 / Shariah Supremacy,2013,35,Compliant: Enforcing a structural ban on conventional commercial MRTA policies protects the transactional ecosystem from usurious and speculative insurance products.
236,"""Mortgage Reducing Term Takaful (MRTT) or Mortgage Level Term Takaful (MLTT) - compulsory.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/1,2015,642,Compliant: Requiring cooperative Islamic protection products (MRTT/MLTT) to mitigate long-term home default risks is fully compliant.
237,"""You are free to choose the service of any non-panel Takaful Operators in the country.""",1,IFSA,Islamic Financial Services Act 2013,Section 142 / Consumer Liberty,2013,146,"Compliant: Preserving a consumer's freedom to opt for external, non-panel Islamic Takaful operators satisfies fair-treatment and anti-competitive codes."
238,"""House Owner Takaful / Householder Takaful Plan (HOT) - if applicable.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),2/1,2015,640,"Compliant: Offering standard House Owner Takaful plans provides an authentic, mutual solidarity alternative to secure physical property skins against natural perils."
239,"""The Bank has the right to set off your deposit or any other account(s) maintained with the Bank towards settlement of overdue payment under this facilities granted by the Bank.""",1,AAOIFI,Shariah Standard No. 19 (Loan/Qard) / Al-Maqassah,4/1,2015,488,Compliant: The inclusion of a standard banking set-off right to recover mutual overdue obligations falls under the legitimate Fiqh framework of debt balancing (Al-Maqassah).
240,"""This financing is under the Shariah principle of Tawarruq.""",1,IFSA,Islamic Financial Services Act 2013,SAC Tawarruq Policy,2013,1,Compliant: The primary statement confirms the product's alignment with an approved non-usurious liquidity and asset procurement model.
241,"""Tawarruq consists of two sale and purchase contracts.""",1,AAOIFI,Shariah Standard No. 30 (Monetization/Tawarruq),2/1,2015,812,Compliant: Defining the fundamental structure transparently ensures that the legal nature of the contract is clear to both counter-parties.
242,"""The customer purchases the commodities from the Bank on Murabahah (cost plus sale) basis at the Bank's Sale Price.""",1,AAOIFI,Shariah Standard No. 8 (Murabahah),2/1,2015,214,Compliant: Confirming that the core debt arises from an asset-backed trade transaction validates the contract's fundamental compliance.
243,"""Commodities means any commodities acceptable to the Bank e.g. palm oil, plastic resin, rubber, cocoa beans, soy beans, timber and metal (excluding gold and silver).""",1,AAOIFI,Shariah Standard No. 30 (Monetization/Tawarruq),3/1,2015,813,Compliant: Restricting trade variables exclusively to non-precious industrial items keeps the asset-level exchanges safe from usury vulnerabilities.
244,"""There is no lock in period for this facility and the Bank shall grant rebate (Ibra') on the deferred profits upon full settlement of the financing.""",1,IFSA,Islamic Financial Services Act 2013,Ibra' Policy Document,2013,2,Compliant: Legally guaranteeing a full waiver on unearned profit layers during settlement phases reinforces transparency and structural compliance.
245,"""Ibra' (rebate) on early settlement = Deferred Profit""",1,IFSA,Islamic Financial Services Act 2013,Ibra' Policy Document,2013,5,Compliant: Standard mathematical representation of dynamic rebate allocations keeps documentation well within central bank consumer clarity rules.
246,"""Late Payment Charge (Ta'widh) will be apply as follows""",1,AAOIFI,Shariah Standard No. 3 (Default Penalties) / Ta'widh,2/1,2015,92,Compliant: Introducing cost-compensation rules to manage overdue operational parameters avoids conventional usurious penalty traps.
247,"""The Bank accept MRTT or MLTT coverage only for the financing facility while the conventional MRTA is strictly prohibited.""",1,IFSA,Islamic Financial Services Act 2013,Section 29 / Shariah Supremacy,2013,35,Compliant: Formally prohibiting conventional mortgage insurance prevents mixing non-compliant financial elements into the underlying contract structure.
248,"""The bank's deferred profit collection must drop to zero immediately upon the real-time processing of an early settlement request.""",1,IFSA,Islamic Financial Services Act 2013,Ibra' Policy Document,2013,4,Compliant: Eliminating future profit claims instantly upon transaction settlement satisfies basic Shariah requirements against excessive enrichment.
249,"""The underlying commodity procurement will be completed prior to the initiation of the deferred sale transaction with the customer.""",1,AAOIFI,Shariah Standard No. 8 (Murabahah),2/2/1,2015,215,Compliant: Enforcing correct chronograms for asset acquisition ensures that the bank never executes a sale on property it does not own.
250,"""The customer shall pay a fixed administrative transaction fee that reflects the actual digital operational cost of commodity exchange.""",1,AAOIFI,Shariah Standard No. 19 (Loan/Qard),2/1,2015,482,"Compliant: Restricting service fee mechanics to flat, un-scaled operational cost parameters protects transactions from hidden usurious pricing layers."
251,"""The Facility is calculated on a variable rate basis and you are offering your property as security.""",0,AAOIFI,Shariah Standard No. 19,1,2015,12,Non-Compliant: Utilizing a conventional variable interest rate framework without anchoring it to a Shariah selling price or ceiling rate constitutes an active usurious debt structure.
252,"""Interest is chargeable on the utilized portion of the overdraft facility.""",0,AAOIFI,Shariah Standard No. 19,2,2015,482,Non-Compliant: Charging a contractual financial percentage (interest) on the active drawdown of credit represents a direct execution of Riba al-Nasi'ah.
253,"""A commitment fee (as described under item Fees and Charges Below) will be chargeable on the unutilised portion of the overdraft facility.""",0,AAOIFI,Shariah Standard No. 19,3,2015,483,"Non-Compliant: Levying a financial commitment fee based on unutilized credit allocations is prohibited, as the lender is securing a monetary benefit without providing any real asset or service exchange."
254,"""Total interest cost at the end of 35 years tenure on the assumption the SBR does not change.""",0,AAOIFI,Shariah Standard No. 19,4,2015,14,Non-Compliant: The formal inclusion and calculated projection of an active 'interest cost' confirms the contract is a standard conventional transaction built on usury.
255,"""The interest/profit rate charged may be fixed, floating or combination of fixed and floating, single or multiple interest/profit rates.""",0,IFSA,Section 29,5,2013,35,Non-Compliant: Merging conventional 'interest' and Islamic 'profit' options into an undifferentiated contractual clause invalidates Shariah compliance due to structural inconsistency and ambiguity.
256,"""Floating rate is typically based on the Base Lending Rate (BLR) plus/minus an interest spread eg BLR+1.75%.""",0,AAOIFI,Shariah Standard No. 19,6,2015,18,"Non-Compliant: Applying an interest-based pricing spread to a conventional Base Lending Rate is forbidden, as it defines the pricing return through explicit usurious margins."
257,"""Monthly progressive Interest to be paid RM100,000 × 5.6% × 31 / 365 days = RM475.62""",0,AAOIFI,Shariah Standard No. 19,7,2015,482,Non-Compliant: Executing continuous mathematical formulas to charge progressive daily interest on housing funds represents a textbook application of commercial Riba.
258,"""Interest computation on daily rest.""",0,AAOIFI,Shariah Standard No. 19,8,2015,482,Non-Compliant: Computing credit debt obligations on a daily interest compounding rest framework is strictly prohibited as a manifestation of financial usury.
259,"""Interest rate: SBR + 1.55% per annum (p.a.)""",0,AAOIFI,Shariah Standard No. 19,9,2015,12,Non-Compliant: Establishing an explicit conventional interest rate as the core pricing engine for a housing arrangement is a direct violation of the absolute ban on Riba.
260,"""Total interest cost at the end of 30 years (RM) 292,172""",0,AAOIFI,Shariah Standard No. 19,10,2015,14,Non-Compliant: Documenting a binding legal ledger that enforces a multi-decade interest accumulation confirms the non-compliant nature of the underlying real estate facility.
261,"""Bayaran ansuran bulanan pinjaman ini akan berubah dan berbeza tertakluk kepada perubahan Kadar Faedah Efektif (EIR).""",0,IFSA,Section 142,11,2013,146,Non-Compliant: Tying active consumer repayment parameters directly to changes in an un-Islamic Effective Interest Rate (EIR) framework constitutes structural usury.
262,"""Kadar Faedah Efektif (setahun) / Effective Interest Rate (EIR) (per annum)""",0,AAOIFI,Shariah Standard No. 19,12,2015,20,Non-Compliant: Utilizing a conventional Effective Interest Rate metric as the primary financial pricing reference identifies the credit package as a usurious loan.
263,"""Jumlah keseluruhan kos faedah pada akhir tempoh pinjaman [30] tahun: RM262,490.19""",0,AAOIFI,Shariah Standard No. 19,13,2015,14,Non-Compliant: The contractual enforcement of an explicitly itemized conventional interest cost balance represents an unlawful collection of usury over a real estate asset timeline.
264,"""The interest/profit rate charged may be fixed, floating or combination of fixed and floating.""",0,IFSA,Section 29,14,2013,35,"Non-Compliant: Blending interest structures with profit terminology within a single line fails to establish a definitive, compliant Shariah contract mechanism."
265,"""Floating rate is based on the Standardised Base Rate (SBR) plus an interest/profit spread eg SBR+1.45%.""",0,AAOIFI,Shariah Standard No. 19,15,2015,18,Non-Compliant: Linking asset financing pricing parameters to an interest-bearing spread is non-compliant as it incorporates raw usurious premiums into the repayment cycle.
266,"""Monthly progressive Interest: RM100,000 × 4.45% × 31 / 365 days = RM378""",0,AAOIFI,Shariah Standard No. 19,16,2015,482,Non-Compliant: The active extraction of a monthly progressive fee calculated using explicit daily interest equations is a direct application of forbidden Riba.
267,"""You will pay more in total as a result of your principal amount increases due to the accumulated unpaid interest, late payment charges or if there is change of interest rate.""",0,AAOIFI,Shariah Standard No. 3,17,2015,93,Non-Compliant: Compounding unpaid interest and unspecified late charges directly into a rising principal debt balance is a severe form of compounding usury (Riba al-Jahiliyyah).
268,"""We will give you prior written notice if the interest rate changes.""",0,AAOIFI,Shariah Standard No. 19,18,2015,12,Non-Compliant: Formalizing a framework to notify consumers about fluctuations in a conventional interest rate confirms the underlying property contract is usurious.
269,"""Late Payment Penalty 1% p.a on the amount in arrears.""",0,AAOIFI,Shariah Standard No. 3,19,2015,92,"Non-Compliant: Enforcing a generic, raw penalty on debt arrears without limiting it to actual cost compensation (Ta'widh) or directing it to charity transforms it into Riba."
270,"""Default Rate: In the event default (non-payment) on three (3) consecutive payments ... the Bank shall be entitled to convert the prescribed rate to BLR+2.50% per annum.""",0,AAOIFI,Shariah Standard No. 3,20,2015,94,Non-Compliant: Increasing the pricing rate to an elevated penal rate upon client default is a form of punitive debt amplification which is completely barred in Islamic finance.
271,"""Late payment charges of 1% per annum on the amount in arrears till settlement of the amount in arrears.""",0,AAOIFI,Shariah Standard No. 3,21,2015,93,Non-Compliant: Applying an ongoing percentage fine over delayed balances without explicit structural classification under Ta'widh principles mimics conventional late interest.
272,"""When the Facility Days Past Due is ninety one (91) days, the Bank shall ... revise the prescribed rate ... to Prescribe Rate + 0.64% p.a.""",0,AAOIFI,Shariah Standard No. 3,22,2015,92,Non-Compliant: Escalating a contract's interest margin based on a 91-day default timeline represents a forbidden usurious penalty framework for delayed debt clearance.
273,"""Penalti Lewat Bayar sebanyak satu peratus (1%) akan dikenakan ke atas amaun tertunggak.""",0,IFSA,Section 29,23,2013,115,Non-Compliant: Charging a raw default penalty over an arrears balance without anchoring the income mechanism under Ta'widh or charity parameters constitutes Riba.
274,"""Kadar Mungkir (Default Rate) ke atas baki pinjaman berkuat kuasa serta-merta pada tarikh berikutnya selepas kemungkiran tersebut.""",0,AAOIFI,Shariah Standard No. 3,24,2015,94,Non-Compliant: Automatically activating an amplified Default Rate over a core balance instantly post-default is non-compliant as it expands a debt obligation through usury.
275,"""Late Payment Penalty 1% p.a on the amount in arrears.""",0,AAOIFI,Shariah Standard No. 3,25,2015,92,Non-Compliant: Levying an explicitly named default penalty that flows directly into an institution's retail profit ledger violates Shariah asset-backing rules.
276,"""Default Interest Rate: ... the Bank shall be entitled to convert the prescribed rate to SBR+6.15% per annum.""",0,AAOIFI,Shariah Standard No. 3,26,2015,94,Non-Compliant: Forcing a highly elevated penal interest overlay (SBR + 6.15%) upon a defaulting customer operates as an exploitative usurious penalty structure.
277,"""Mortgage Reducing Term Assurance ('MRTA') or Mortgage Level Term Assurance ('MLTA') is a non-participating single premium plan which provides death and total and permanent disability coverage.""",0,AAOIFI,Shariah Standard No. 26,27,2015,678,Non-Compliant: Mandating an MRTA/MLTA policy is prohibited because conventional commercial insurance contains core structural elements of gambling (Maysir) and high uncertainty (Gharar).
278,"""Fire or houseowner insurance is required to cover the property against the risk of fire.""",0,AAOIFI,Shariah Standard No. 26,28,2015,640,Non-Compliant: Requiring a standard conventional commercial insurance framework instead of a cooperative Takaful scheme injects prohibited Gharar into asset security.
279,"""Mortgage Reducing Term Assurance (MRTA) or Mortgage Reducing Term Takaful (MRTT)""",0,IFSA,Section 29,29,2013,35,Non-Compliant: Offering standard commercial insurance (MRTA) as an interchangeable alternative to a Takaful structure fails to enforce mandatory Shariah risk protection compliance.
280,"""Fire insurance/home owner's insurance to cover the property (compulsory).""",0,AAOIFI,Shariah Standard No. 26,30,2015,641,Non-Compliant: Forcing the consumer into a conventional commercial fire policy to secure property collateral is non-compliant due to embedded usurious and speculative flows.
281,"""Mortgage reducing term insurance (MRTA)/Credit Level Term Assurance (CLTA)/Credit Reducing Term Assurance (CRTA) is optional but highly encouraged.""",0,AAOIFI,Shariah Standard No. 26,31,2015,678,Non-Compliant: Endorsing a suite of conventional commercial insurance policies (MRTA/CLTA/CRTA) within a property contract incorporates non-compliant risk-transfer products.
282,"""Compulsory Fire Insurance.""",0,AAOIFI,Shariah Standard No. 26,32,2015,640,Non-Compliant: Restricting residential asset preservation mandates to conventional commercial fire insurance lines breaks the required purity of an Islamic contract.
283,"""The Bank may provide quotations to you for any compulsory insurance offered by the Bank's own panel of insurance provider.""",0,IFSA,Section 142,33,2013,146,Non-Compliant: Directing housing consumers exclusively to commercial insurance corporations instead of cooperative Takaful operators is a non-compliant risk management step.
284,"""Perlindungan Insurans Gadai Janji Berkurangan (MRTA) adalah digalakkan untuk melindungi pinjaman anda.""",0,AAOIFI,Shariah Standard No. 26,34,2015,678,Non-Compliant: Recommending a conventional mortgage insurance protection path (MRTA) fails to align the home facility with cooperative mutual protection codes.
285,"""Perlindungan Insurans Rumahku / Kebakaran / Insurans Rumahku Jangka Panjang (IRJP), jika perlu.""",0,AAOIFI,Shariah Standard No. 26,35,2015,640,Non-Compliant: Incorporating standard long-term conventional insurance product parameters to manage property structural risks introduces un-Islamic contract parameters.
286,"""Mortgage Reducing Term Assurance (MRTA) / Credit Level Term Assurance (CLTA)""",0,AAOIFI,Shariah Standard No. 26,36,2015,678,Non-Compliant: Listing conventional mortgage and credit insurance policies as the primary asset protection tools is prohibited due to the presence of Gharar.
287,"""Fire Insurance policy / Houseowner's policy / Houseowner Xtra's policy""",0,AAOIFI,Shariah Standard No. 26,37,2015,641,Non-Compliant: Framing property hazard preservation entirely around commercial fire and householder policies excludes the required application of a Takaful alternative.
288,"""The Bank will take up and maintain a Fire Insurance policy on your behalf from Etiga or from the Bank's panel of insurance companies.""",0,AAOIFI,Shariah Standard No. 26,38,2015,640,Non-Compliant: Utilizing standard commercial insurance companies to preserve a financed property's shell violates the cooperative risk mitigation parameters of Shariah.
289,"""Lock in period: years with effect from 1st/full loan disbursement. Early settlement fees: % on approved loan amount.""",0,AAOIFI,Shariah Standard No. 3,39,2015,95,Non-Compliant: Enforcing a punitive early settlement fee formatted as a percentage of the loan without providing a guaranteed right to a rebate (Ibra') is prohibited.
290,"""Retention period is 3 years from date of first disbursement. No lock in period for Subsale financing. Early settlement penalty: 2% flat on the financing amount if redeemed within 3 years retention period.""",0,AAOIFI,Shariah Standard No. 3,40,2015,95,Non-Compliant: Levying a 2% flat punitive monetary fine for early asset redemption within a retention timeline violates Shariah rules requiring dynamic debt concession instead of penalty extraction.
291,"""Partial settlements are allowed and may be used to reduce the principal Facility amount but you must issue a written request.""",0,IFSA,Section 29,41,2013,2,Non-Compliant: Outlining partial repayment procedures while completely failing to state or mandate a corresponding reduction in unearned deferred profit (Ibra') is non-compliant.
292,"""Anda perlu mengemukakan notis bertulis kepada Bank untuk mendapatkan amaun penjelasan awal.""",0,IFSA,Section 29,42,2013,4,Non-Compliant: Restricting early settlement parameters to basic administrative notifications without legal acknowledgment of a customer's mandatory right to a rebate is non-compliant.
293,"""Lock in period ... Early settlement fees""",0,AAOIFI,Shariah Standard No. 3,43,2015,95,Non-Compliant: Imposing punitive operational exit charges inside a lock-in period is a conventional mechanism designed to block early debt clearance through financial penalties.
294,"""The Facility is a basic term loan with a fixed payment schedule.""",0,AAOIFI,Shariah Standard No. 19,44,2015,15,"Non-Compliant: Structuring a property financing package as a conventional commercial 'term loan' lacks any required underlying Shariah asset sale, lease, or equity partnership framework."
295,"""Interest is chargeable on the utilized portion of the overdraft facility.""",0,AAOIFI,Shariah Standard No. 19,45,2015,482,Non-Compliant: Applying periodic interest calculations over an open credit balance represents a standard conventional usurious mechanism devoid of Murabahah or Tawarruq parameters.
296,"""The product is a mortgage loan/credit facility secured against residential or commercial properties.""",0,AAOIFI,Shariah Standard No. 19,46,2015,20,Non-Compliant: Defining a residential transaction as a commercial 'mortgage loan' indicates that the contract is an exchange of cash for cash with an interest-bearing return.
297,"""The facility is available in conventional and Islamic version""",0,IFSA,Section 29,47,2013,34,Non-Compliant: The explicit confirmation that the current agreement template covers a conventional framework indicates it operates via interest-bearing pathways.
298,"""AFFIN HOME SOLUTION PLUS is a housing loan with product features such as interest on daily rest.""",0,AAOIFI,Shariah Standard No. 19,48,2015,482,Non-Compliant: Combining a conventional 'housing loan' label with an active daily-rest interest charging engine establishes a completely non-compliant asset model.
299,"""BSN MyHome Skim Rumah Pertamaku (SRP) ... Skim ini membolehkan pembeli rumah untuk mendapatkan pinjaman perumahan sehingga 110%.""",0,AAOIFI,Shariah Standard No. 19,49,2015,15,Non-Compliant: Framing a real estate acquisition scheme as a 110% margin conventional loan (pinjaman) confirms the facility functions as a usurious financing tool.
300,"""The product is a mortgage loan/credit facility secured against residential or commercial properties.""",0,AAOIFI,Shariah Standard No. 19,50,2015,20,Non-Compliant: Legal allocation of real estate properties as direct security under a traditional 'mortgage loan' construct confirms the contract is rooted in Riba.
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
